Product_Number,Description,V,R,L,inertia,mass,k_t,k_e,I_nom,omega_nl,I_nl,R_wh,R_ha,omega_max,Stall_torque,Price
unknown_32,"DC-max 26 S Ø26 mm, CLL precious metal brushes, sintered bearings",24,9.08,0.00116,1.52e-06,0.12,0.0522,0.0522,0.564,457.625329872913,0.0132,3.2,13.2,701.62235930172,0.138,103
unknown_33,"DC-max 26 S Ø26 mm, graphite brushes, ball bearings",24,2.14,0.000278,1.49e-06,0.12,0.0256,0.0256,1.08,935.147413218562,0.0398,3.2,13.2,1151.91730631626,0.287,109.82
unknown_34,"DC-max 26 S Ø26 mm, graphite brushes, ball bearings",48,9.04,0.00116,1.52e-06,0.12,0.0522,0.0522,0.582,915.250659745826,0.0193,3.2,13.2,1151.91730631626,0.278,109.82
unknown_35,"DC-max 26 S Ø26 mm, graphite brushes, sintered bearings",24,2.14,0.000278,1.49e-06,0.12,0.0256,0.0256,1.08,934.100215667365,0.053,3.2,13.2,1151.91730631626,0.287,104.91
unknown_36,"DC-max 26 S Ø26 mm, graphite brushes, sintered bearings",48,9.04,0.00116,1.52e-06,0.12,0.0522,0.0522,0.567,914.20346219463,0.0257,3.2,13.2,1151.91730631626,0.278,104.91
unknown_37,"DCX 6 M Ø6 mm, precious metal brushes, ball bearings",1.5,2.58,8e-06,1.66e-09,0.002,0.000779,0.000779,0.425,1801.17978805815,0.0362,20,105,1811.65176357011,0.000453,80.64
unknown_38,"DCX 6 M Ø6 mm, precious metal brushes, ball bearings",3,8.92,3.2e-05,1.83e-09,0.002,0.00156,0.00156,0.228,1822.12373908208,0.0182,20,105,1811.65176357011,0.000524,80.64
unknown_39,"DCX 6 M Ø6 mm, precious metal brushes, ball bearings",4.5,20.8,7.1e-05,1.79e-09,0.002,0.00234,0.00234,0.149,1822.12373908208,0.0121,20,105,1811.65176357011,0.000507,80.64
unknown_40,"DCX 6 M Ø6 mm, precious metal brushes, ball bearings",6,37.2,0.000126,1.78e-09,0.002,0.00312,0.00312,0.111,1822.12373908208,0.00907,20,105,1811.65176357011,0.000503,80.64
unknown_41,"DCX 6 M Ø6 mm, precious metal brushes, sintered bearings",1.5,2.58,8e-06,1.66e-09,0.002,0.000779,0.000779,0.425,1832.59571459405,0.0289,20,105,1811.65176357011,0.000453,62.09
unknown_42,"DCX 6 M Ø6 mm, precious metal brushes, sintered bearings",3,8.92,3.2e-05,1.83e-09,0.002,0.00156,0.00156,0.228,1843.06769010601,0.0145,20,105,1811.65176357011,0.000524,62.09
unknown_43,"DCX 6 M Ø6 mm, precious metal brushes, sintered bearings",4.5,20.8,7.1e-05,1.79e-09,0.002,0.00234,0.00234,0.149,1843.06769010601,0.00963,20,105,1811.65176357011,0.000507,62.09
unknown_44,"DCX 6 M Ø6 mm, precious metal brushes, sintered bearings",6,37.2,0.000126,1.78e-09,0.002,0.00312,0.00312,0.112,1843.06769010601,0.00722,20,105,1811.65176357011,0.000503,62.09
unknown_45,"DCX 8 M Ø8 mm, precious metal brushes, ball bearings",2.4,4.13,1.4e-05,3.84e-09,0.004,0.00195,0.00195,0.344,1204.27718387609,0.0136,16.9,101,1811.65176357011,0.00113,85
unknown_46,"DCX 8 M Ø8 mm, precious metal brushes, ball bearings",4.2,12.3,4.1e-05,3.79e-09,0.004,0.00336,0.00336,0.199,1214.74915938805,0.0101,16.9,101,1811.65176357011,0.00114,85
unknown_47,"DCX 8 M Ø8 mm, precious metal brushes, ball bearings",6,29,9.4e-05,3.72e-09,0.004,0.00508,0.00508,0.13,1151.91730631626,0.00515,16.9,101,1811.65176357011,0.00105,85
unknown_48,"DCX 8 M Ø8 mm, precious metal brushes, ball bearings",7.2,38.5,0.000117,3.54e-09,0.004,0.00567,0.00567,0.113,1235.69311041199,0.0047,16.9,101,1811.65176357011,0.00106,85
unknown_49,"DCX 8 M Ø8 mm, precious metal brushes, ball bearings",9,54.3,0.000183,3.83e-09,0.004,0.00707,0.00707,0.0947,1246.16508592395,0.00377,16.9,101,1811.65176357011,0.00117,85
unknown_50,"DCX 8 M Ø8 mm, precious metal brushes, ball bearings",12,92.2,0.000276,3.51e-09,0.004,0.00871,0.00871,0.0726,1340.41286553164,0.00312,16.9,101,1811.65176357011,0.00113,85
unknown_51,"DCX 8 M Ø8 mm, precious metal brushes, sintered bearings",2.4,4.13,1.4e-05,3.84e-09,0.004,0.00195,0.00195,0.345,1204.27718387609,0.0119,16.9,101,1811.65176357011,0.00113,66.45
unknown_52,"DCX 8 M Ø8 mm, precious metal brushes, sintered bearings",4.2,12.3,4.1e-05,3.79e-09,0.004,0.00336,0.00336,0.199,1225.22113490002,0.00693,16.9,101,1811.65176357011,0.00114,66.45
unknown_53,"DCX 8 M Ø8 mm, precious metal brushes, sintered bearings",6,29,9.4e-05,3.72e-09,0.004,0.00508,0.00508,0.13,1151.91730631626,0.00451,16.9,101,1811.65176357011,0.00105,66.45
unknown_54,"DCX 8 M Ø8 mm, precious metal brushes, sintered bearings",7.2,38.5,0.000117,3.54e-09,0.004,0.00567,0.00567,0.113,1246.16508592395,0.00412,16.9,101,1811.65176357011,0.00106,66.45
unknown_55,"DCX 8 M Ø8 mm, precious metal brushes, sintered bearings",9,54.3,0.000183,3.83e-09,0.004,0.00707,0.00707,0.0949,1246.16508592395,0.0033,16.9,101,1811.65176357011,0.00117,66.45
unknown_56,"DCX 8 M Ø8 mm, precious metal brushes, sintered bearings",12,92.2,0.000276,3.51e-09,0.004,0.00871,0.00871,0.0728,1350.88484104361,0.00274,16.9,101,1811.65176357011,0.00113,66.45
unknown_57,"DCX 10 L Ø10 mm, Precious Metal Brushes CLL, ball bearings",1.5,0.355,5e-06,1.53e-08,0.011,0.00121,0.00121,0.924,1204.27718387609,0.0976,10.6,36.5,1497.49249821113,0.00513,95.73
unknown_58,"DCX 10 L Ø10 mm, Precious Metal Brushes CLL, ball bearings",3,1.44,2e-05,1.32e-08,0.011,0.00231,0.00231,0.918,1267.10903694788,0.0528,10.6,36.5,1497.49249821113,0.00481,95.73
unknown_59,"DCX 10 L Ø10 mm, Precious Metal Brushes CLL, ball bearings",4.5,2.9,4.5e-05,1.51e-08,0.011,0.00352,0.00352,0.645,1246.16508592395,0.0343,10.6,36.5,1497.49249821113,0.00545,95.73
unknown_60,"DCX 10 L Ø10 mm, Precious Metal Brushes CLL, ball bearings",6,6.4,7.8e-05,1.19e-08,0.011,0.00461,0.00461,0.435,1267.10903694788,0.0263,10.6,36.5,1497.49249821113,0.00432,95.73
unknown_61,"DCX 10 L Ø10 mm, Precious Metal Brushes CLL, ball bearings",9,13.2,0.000181,1.34e-08,0.011,0.00704,0.00704,0.303,1246.16508592395,0.0171,10.6,36.5,1497.49249821113,0.0048,95.73
unknown_62,"DCX 10 L Ø10 mm, Precious Metal Brushes CLL, ball bearings",12,27.3,0.000362,1.3e-08,0.011,0.00995,0.00995,0.211,1172.86125734019,0.0117,10.6,36.5,1497.49249821113,0.00436,95.73
unknown_63,"DCX 10 L Ø10 mm, Precious Metal Brushes CLL, sintered sleeve bearings",1.5,0.355,5e-06,1.53e-08,0.011,0.00121,0.00121,0.924,1214.74915938805,0.0836,10.6,36.5,1497.49249821113,0.00513,77.18
unknown_64,"DCX 10 L Ø10 mm, Precious Metal Brushes CLL, sintered sleeve bearings",3,1.44,2e-05,1.32e-08,0.011,0.00231,0.00231,0.921,1277.58101245985,0.0447,10.6,36.5,1497.49249821113,0.00481,77.18
unknown_65,"DCX 10 L Ø10 mm, Precious Metal Brushes CLL, sintered sleeve bearings",4.5,2.9,4.5e-05,1.51e-08,0.011,0.00352,0.00352,0.647,1256.63706143592,0.0291,10.6,36.5,1497.49249821113,0.00545,77.18
unknown_66,"DCX 10 L Ø10 mm, Precious Metal Brushes CLL, sleeve bearings",6,6.4,7.8e-05,1.19e-08,0.011,0.00461,0.00461,0.436,1267.10903694788,0.0223,10.6,36.5,1497.49249821113,0.00432,77.18
unknown_67,"DCX 10 L Ø10 mm, Precious Metal Brushes CLL, sleeve bearings",9,13.2,0.000181,1.34e-08,0.011,0.00704,0.00704,0.303,1256.63706143592,0.0146,10.6,36.5,1497.49249821113,0.0048,77.18
unknown_68,"DCX 10 L Ø10 mm, Precious Metal Brushes CLL, sleeve bearings",12,27.3,0.000362,1.3e-08,0.011,0.00995,0.00995,0.211,1183.33323285216,0.0101,10.6,36.5,1497.49249821113,0.00436,77.18
unknown_69,"DCX 10 S Ø10 mm, Precious Metal Brushes CLL, ball bearings",1.5,1.08,1.4e-05,7.66e-09,0.006,0.00107,0.00107,0.924,1319.46891450771,0.0881,22,37.6,1497.49249821113,0.00149,93.27
unknown_70,"DCX 10 S Ø10 mm, Precious Metal Brushes CLL, ball bearings",3,4.04,5.1e-05,7.66e-09,0.006,0.00207,0.00207,0.49,1361.35681655558,0.0459,22,37.6,1497.49249821113,0.00154,93.27
unknown_71,"DCX 10 S Ø10 mm, Precious Metal Brushes CLL, ball bearings",4.5,9.72,0.000122,7.6e-09,0.006,0.0032,0.0032,0.316,1319.46891450771,0.0294,22,37.6,1497.49249821113,0.00148,93.27
unknown_72,"DCX 10 S Ø10 mm, Precious Metal Brushes CLL, ball bearings",6,19.5,0.000268,8.1e-09,0.006,0.00474,0.00474,0.223,1183.33323285216,0.019,22,37.6,1497.49249821113,0.00146,93.27
unknown_73,"DCX 10 S Ø10 mm, Precious Metal Brushes CLL, ball bearings",9,41.8,0.000488,7.12e-09,0.006,0.0064,0.0064,0.152,1308.99693899575,0.0147,22,37.6,1497.49249821113,0.00138,93.27
unknown_74,"DCX 10 S Ø10 mm, Precious Metal Brushes CLL, ball bearings",12,74.9,0.000868,7.06e-09,0.006,0.00853,0.00853,0.114,1308.99693899575,0.011,22,37.6,1497.49249821113,0.00137,93.27
unknown_75,"DCX 10 S Ø10 mm, Precious Metal Brushes CLL, sintered sleeve bearings",1.5,1.08,1.4e-05,7.66e-09,0.006,0.00107,0.00107,0.924,1319.46891450771,0.0841,22,37.6,1497.49249821113,0.00149,74.73
unknown_76,"DCX 10 S Ø10 mm, Precious Metal Brushes CLL, sintered sleeve bearings",3,4.04,5.1e-05,7.66e-09,0.006,0.00207,0.00207,0.49,1361.35681655558,0.0438,22,37.6,1497.49249821113,0.00154,74.73
unknown_77,"DCX 10 S Ø10 mm, Precious Metal Brushes CLL, sintered sleeve bearings",4.5,9.72,0.000122,7.6e-09,0.006,0.0032,0.0032,0.316,1319.46891450771,0.028,22,37.6,1497.49249821113,0.00148,74.73
unknown_78,"DCX 10 S Ø10 mm, Precious Metal Brushes CLL, sintered sleeve bearings",6,19.5,0.000268,8.1e-09,0.006,0.00474,0.00474,0.223,1193.80520836412,0.0182,22,37.6,1497.49249821113,0.00146,74.73
unknown_79,"DCX 10 S Ø10 mm, Precious Metal Brushes CLL, sintered sleeve bearings",9,41.8,0.000488,7.12e-09,0.006,0.0064,0.0064,0.152,1319.46891450771,0.014,22,37.6,1497.49249821113,0.00138,74.73
unknown_80,"DCX 10 S Ø10 mm, Precious Metal Brushes CLL, sintered sleeve bearings",12,74.9,0.000868,7.06e-09,0.006,0.00853,0.00853,0.114,1308.99693899575,0.0105,22,37.6,1497.49249821113,0.00137,74.73
unknown_81,"DCX 12 L Ø12 mm, CLL precious metal brushes, ball bearings",3,0.975,3.1e-05,4.84e-08,0.016,0.00322,0.00322,0.924,921.533845053006,0.0345,10.3,31,1256.63706143592,0.00991,105.91
unknown_82,"DCX 12 L Ø12 mm, CLL precious metal brushes, ball bearings",4.5,1.94,7.1e-05,5.33e-08,0.016,0.00483,0.00483,0.849,922.581042604203,0.023,10.3,31,1256.63706143592,0.0112,105.91
unknown_83,"DCX 12 L Ø12 mm, CLL precious metal brushes, ball bearings",6,3.68,0.000125,4.96e-08,0.016,0.00644,0.00644,0.615,921.533845053006,0.0172,10.3,31,1256.63706143592,0.0105,105.91
unknown_84,"DCX 12 L Ø12 mm, CLL precious metal brushes, ball bearings",9,7.29,0.000282,5.59e-08,0.016,0.00966,0.00966,0.436,922.581042604203,0.0115,10.3,31,1256.63706143592,0.0119,105.91
unknown_85,"DCX 12 L Ø12 mm, CLL precious metal brushes, ball bearings",12,14.6,0.000502,4.98e-08,0.016,0.0129,0.0129,0.308,921.533845053006,0.00862,10.3,31,1256.63706143592,0.0106,105.91
unknown_86,"DCX 12 L Ø12 mm, CLL precious metal brushes, ball bearings",18,33.1,0.00113,4.95e-08,0.016,0.0193,0.0193,0.204,921.533845053006,0.00575,10.3,31,1256.63706143592,0.0105,105.91
unknown_87,"DCX 12 L Ø12 mm, CLL precious metal brushes, sintered bearings",3,0.975,3.1e-05,4.84e-08,0.016,0.00322,0.00322,0.924,922.581042604203,0.0313,10.3,31,1256.63706143592,0.00991,87.36
unknown_88,"DCX 12 L Ø12 mm, CLL precious metal brushes, sintered bearings",4.5,1.94,7.1e-05,5.33e-08,0.016,0.00483,0.00483,0.851,923.628240155399,0.0209,10.3,31,1256.63706143592,0.0112,87.36
unknown_89,"DCX 12 L Ø12 mm, CLL precious metal brushes, sintered bearings",6,3.68,0.000125,4.96e-08,0.016,0.00644,0.00644,0.616,922.581042604203,0.0157,10.3,31,1256.63706143592,0.0105,87.36
unknown_90,"DCX 12 L Ø12 mm, CLL precious metal brushes, sintered bearings",9,7.29,0.000282,5.59e-08,0.016,0.00966,0.00966,0.437,923.628240155399,0.0104,10.3,31,1256.63706143592,0.0119,87.36
unknown_91,"DCX 12 L Ø12 mm, CLL precious metal brushes, sintered bearings",12,14.6,0.000502,4.98e-08,0.016,0.0129,0.0129,0.309,922.581042604203,0.00783,10.3,31,1256.63706143592,0.0106,87.36
unknown_92,"DCX 12 L Ø12 mm, CLL precious metal brushes, sintered bearings",18,33.1,0.00113,4.95e-08,0.016,0.0193,0.0193,0.205,922.581042604203,0.00522,10.3,31,1256.63706143592,0.0105,87.36
unknown_93,"DCX 12 S Ø12 mm, CLL precious metal brushes, ball bearings",3,2.74,7.2e-05,2.86e-08,0.011,0.00306,0.00306,0.654,952.949771588904,0.03,14.4,35,1361.35681655558,0.00335,99.18
unknown_94,"DCX 12 S Ø12 mm, CLL precious metal brushes, ball bearings",4.5,6.42,0.000166,2.78e-08,0.011,0.00463,0.00463,0.427,944.572191179331,0.0198,14.4,35,1361.35681655558,0.00325,99.18
unknown_95,"DCX 12 S Ø12 mm, CLL precious metal brushes, ball bearings",6,10.6,0.00029,2.93e-08,0.011,0.00612,0.00612,0.332,953.9969691401,0.015,14.4,35,1361.35681655558,0.00346,99.18
unknown_96,"DCX 12 S Ø12 mm, CLL precious metal brushes, ball bearings",9,25,0.000664,2.86e-08,0.011,0.00926,0.00926,0.216,944.572191179331,0.00989,14.4,35,1361.35681655558,0.00333,99.18
unknown_97,"DCX 12 S Ø12 mm, CLL precious metal brushes, ball bearings",12,46,0.00117,2.75e-08,0.011,0.0123,0.0123,0.159,945.619388730528,0.00743,14.4,35,1361.35681655558,0.00321,99.18
unknown_98,"DCX 12 S Ø12 mm, CLL precious metal brushes, sintered bearings",3,2.74,7.2e-05,2.86e-08,0.011,0.00306,0.00306,0.655,951.902574037707,0.0318,14.4,35,1361.35681655558,0.00335,80.64
unknown_99,"DCX 12 S Ø12 mm, CLL precious metal brushes, sintered bearings",4.5,6.42,0.000166,2.78e-08,0.011,0.00463,0.00463,0.427,942.477796076938,0.0209,14.4,35,1361.35681655558,0.00325,80.64
unknown_100,"DCX 12 S Ø12 mm, CLL precious metal brushes, sintered bearings",6,10.6,0.00029,2.93e-08,0.011,0.00612,0.00612,0.332,952.949771588904,0.0159,14.4,35,1361.35681655558,0.00346,80.64
unknown_101,"DCX 12 S Ø12 mm, CLL precious metal brushes, sintered bearings",9,25,0.000664,2.86e-08,0.011,0.00926,0.00926,0.216,943.524993628134,0.0105,14.4,35,1361.35681655558,0.00333,80.64
unknown_102,"DCX 12 S Ø12 mm, CLL precious metal brushes, sintered bearings",12,46,0.00117,2.75e-08,0.011,0.0123,0.0123,0.159,944.572191179331,0.00788,14.4,35,1361.35681655558,0.00321,80.64
unknown_103,"DCX 14 L Ø14 mm, CLL precious metal brushes, ball bearings",3,0.664,2.5e-05,8.31e-08,0.026,0.00365,0.00365,1.2,808.436509523773,0.0763,8.63,22.2,908.967474438647,0.0165,113
unknown_104,"DCX 14 L Ø14 mm, CLL precious metal brushes, ball bearings",4.5,1.29,5.7e-05,9.42e-08,0.026,0.00547,0.00547,1.19,809.48370707497,0.0509,8.63,22.2,908.967474438647,0.0191,113
unknown_105,"DCX 14 L Ø14 mm, CLL precious metal brushes, ball bearings",6,2.33,0.000101,9.26e-08,0.026,0.0073,0.0073,0.884,809.48370707497,0.0382,8.63,22.2,908.967474438647,0.0188,113
unknown_106,"DCX 14 L Ø14 mm, CLL precious metal brushes, ball bearings",9,5.02,0.000227,9.66e-08,0.026,0.0109,0.0109,0.602,810.530904626167,0.0255,8.63,22.2,908.967474438647,0.0196,113
unknown_107,"DCX 14 L Ø14 mm, CLL precious metal brushes, ball bearings",12,8.9,0.000403,9.7e-08,0.026,0.0146,0.0146,0.452,810.530904626167,0.0191,8.63,22.2,908.967474438647,0.0197,113
unknown_108,"DCX 14 L Ø14 mm, CLL precious metal brushes, ball bearings",18,22.5,0.000908,8.72e-08,0.026,0.0219,0.0219,0.284,808.436509523773,0.0127,8.63,22.2,908.967474438647,0.0175,113
unknown_109,"DCX 14 L Ø14 mm, CLL precious metal brushes, ball bearings",24,37.1,0.00161,9.39e-08,0.026,0.0292,0.0292,0.221,809.48370707497,0.00955,8.63,22.2,908.967474438647,0.0189,113
unknown_110,"DCX 14 L Ø14 mm, CLL precious metal brushes, sintered bearings",3,0.664,2.5e-05,8.31e-08,0.026,0.00365,0.00365,1.2,808.436509523773,0.0736,8.63,22.2,908.967474438647,0.0165,101.27
unknown_111,"DCX 14 L Ø14 mm, CLL precious metal brushes, sintered bearings",4.5,1.29,5.7e-05,9.42e-08,0.026,0.00547,0.00547,1.2,810.530904626167,0.0491,8.63,22.2,908.967474438647,0.0191,101.27
unknown_112,"DCX 14 L Ø14 mm, CLL precious metal brushes, sintered bearings",6,2.33,0.000101,9.26e-08,0.026,0.0073,0.0073,0.889,810.530904626167,0.0368,8.63,22.2,908.967474438647,0.0188,101.27
unknown_113,"DCX 14 L Ø14 mm, CLL precious metal brushes, sintered bearings",9,5.02,0.000227,9.66e-08,0.026,0.0109,0.0109,0.605,810.530904626167,0.0245,8.63,22.2,908.967474438647,0.0196,101.27
unknown_114,"DCX 14 L Ø14 mm, CLL precious metal brushes, sintered bearings",12,8.9,0.000403,9.7e-08,0.026,0.0146,0.0146,0.454,810.530904626167,0.0184,8.63,22.2,908.967474438647,0.0197,101.27
unknown_115,"DCX 14 L Ø14 mm, CLL precious metal brushes, sintered bearings",18,22.5,0.000908,8.72e-08,0.026,0.0219,0.0219,0.286,809.48370707497,0.0123,8.63,22.2,908.967474438647,0.0175,101.27
unknown_116,"DCX 14 L Ø14 mm, CLL precious metal brushes, sintered bearings",24,37.1,0.00161,9.39e-08,0.026,0.0292,0.0292,0.223,810.530904626167,0.0092,8.63,22.2,908.967474438647,0.0189,101.27
unknown_117,"DCX 14 L Ø14 mm, graphite brushes, ball bearings",4.5,0.698,2.5e-05,8.31e-08,0.026,0.00365,0.00365,1.8,1214.74915938805,0.0748,8.63,22.2,1780.23583703422,0.0235,110.64
unknown_118,"DCX 14 L Ø14 mm, graphite brushes, ball bearings",6,1.33,5.7e-05,9.42e-08,0.026,0.00547,0.00547,1.31,1089.08545324446,0.048,8.63,22.2,1780.23583703422,0.0248,110.64
unknown_119,"DCX 14 L Ø14 mm, graphite brushes, ball bearings",9,2.37,0.000101,9.26e-08,0.026,0.0073,0.0073,0.972,1225.22113490002,0.0374,8.63,22.2,1780.23583703422,0.0278,110.64
unknown_120,"DCX 14 L Ø14 mm, graphite brushes, ball bearings",12,5.31,0.000227,9.66e-08,0.026,0.0109,0.0109,0.649,1078.6134777325,0.024,8.63,22.2,1780.23583703422,0.0247,110.64
unknown_121,"DCX 14 L Ø14 mm, graphite brushes, ball bearings",18,9.21,0.000403,9.7e-08,0.026,0.0146,0.0146,0.491,1214.74915938805,0.0187,8.63,22.2,1780.23583703422,0.0285,110.64
unknown_122,"DCX 14 L Ø14 mm, graphite brushes, ball bearings",24,22.9,0.000908,8.72e-08,0.026,0.0219,0.0219,0.313,1078.6134777325,0.012,8.63,22.2,1780.23583703422,0.0229,110.64
unknown_123,"DCX 14 L Ø14 mm, graphite brushes, sintered bearings",4.5,0.698,2.5e-05,8.31e-08,0.026,0.00365,0.00365,1.81,1214.74915938805,0.0739,8.63,22.2,1570.7963267949,0.0235,98.91
unknown_124,"DCX 14 L Ø14 mm, graphite brushes, sintered bearings",6,1.33,5.7e-05,9.42e-08,0.026,0.00547,0.00547,1.31,1089.08545324446,0.0464,8.63,22.2,1570.7963267949,0.0248,98.91
unknown_125,"DCX 14 L Ø14 mm, graphite brushes, sintered bearings",9,2.37,0.000101,9.26e-08,0.026,0.0073,0.0073,0.974,1225.22113490002,0.037,8.63,22.2,1570.7963267949,0.0278,98.91
unknown_126,"DCX 14 L Ø14 mm, graphite brushes, sintered bearings",12,5.31,0.000227,9.66e-08,0.026,0.0109,0.0109,0.651,1078.6134777325,0.0232,8.63,22.2,1570.7963267949,0.0247,98.91
unknown_127,"DCX 14 L Ø14 mm, graphite brushes, sintered bearings",18,9.21,0.000403,9.7e-08,0.026,0.0146,0.0146,0.492,1214.74915938805,0.0185,8.63,22.2,1570.7963267949,0.0285,98.91
unknown_128,"DCX 14 L Ø14 mm, graphite brushes, sintered bearings",24,22.9,0.000908,8.72e-08,0.026,0.0219,0.0219,0.314,1078.6134777325,0.0116,8.63,22.2,1570.7963267949,0.0229,98.91
unknown_129,"DCX 16 L Ø16 mm, CLL precious metal brushes, ball bearings",3,0.388,2.6e-05,2.18e-07,0.042,0.00444,0.00444,1.2,669.159235214626,0.0668,7.21,17.9,908.967474438647,0.0344,127.18
unknown_130,"DCX 16 L Ø16 mm, CLL precious metal brushes, ball bearings",6,1.31,9.6e-05,2.36e-07,0.042,0.00859,0.00859,1.2,693.244778892148,0.0349,7.21,17.9,908.967474438647,0.0393,127.18
unknown_131,"DCX 16 L Ø16 mm, CLL precious metal brushes, ball bearings",9,2.87,0.000231,2.59e-07,0.042,0.0133,0.0133,0.887,670.206432765822,0.0223,7.21,17.9,908.967474438647,0.0418,127.18
unknown_132,"DCX 16 L Ø16 mm, CLL precious metal brushes, ball bearings",12,5.82,0.000411,2.28e-07,0.042,0.0178,0.0178,0.622,670.206432765822,0.0167,7.21,17.9,908.967474438647,0.0366,127.18
unknown_133,"DCX 16 L Ø16 mm, CLL precious metal brushes, ball bearings",18,12.9,0.000925,2.33e-07,0.042,0.0267,0.0267,0.419,670.206432765822,0.0111,7.21,17.9,908.967474438647,0.0373,127.18
unknown_134,"DCX 16 L Ø16 mm, CLL precious metal brushes, ball bearings",24,22.7,0.00156,2.23e-07,0.042,0.0347,0.0347,0.315,686.961593584968,0.00862,7.21,17.9,908.967474438647,0.0366,127.18
unknown_135,"DCX 16 L Ø16 mm, CLL precious metal brushes, sintered bearings",3,0.388,2.6e-05,2.18e-07,0.042,0.00444,0.00444,1.2,668.112037663429,0.0792,7.21,17.9,908.967474438647,0.0344,115.45
unknown_136,"DCX 16 L Ø16 mm, CLL precious metal brushes, sintered bearings",6,1.31,9.6e-05,2.36e-07,0.042,0.00859,0.00859,1.2,692.197581340951,0.0414,7.21,17.9,908.967474438647,0.0393,115.45
unknown_137,"DCX 16 L Ø16 mm, CLL precious metal brushes, sintered bearings",9,2.87,0.000231,2.59e-07,0.042,0.0133,0.0133,0.888,669.159235214626,0.0264,7.21,17.9,908.967474438647,0.0418,115.45
unknown_138,"DCX 16 L Ø16 mm, CLL precious metal brushes, sintered bearings",12,5.82,0.000411,2.28e-07,0.042,0.0178,0.0178,0.623,669.159235214626,0.0198,7.21,17.9,908.967474438647,0.0366,115.45
unknown_139,"DCX 16 L Ø16 mm, CLL precious metal brushes, sintered bearings",18,12.9,0.000925,2.33e-07,0.042,0.0267,0.0267,0.419,669.159235214626,0.0132,7.21,17.9,908.967474438647,0.0373,115.45
unknown_140,"DCX 16 L Ø16 mm, CLL precious metal brushes, sintered bearings",24,22.7,0.00156,2.23e-07,0.042,0.0347,0.0347,0.315,685.914396033771,0.0102,7.21,17.9,908.967474438647,0.0366,115.45
unknown_141,"DCX 16 L Ø16 mm, graphite brushes, ball bearings",6,0.43,2.6e-05,2.18e-07,0.042,0.00444,0.00444,2,1340.41286553164,0.102,7.21,17.9,1780.23583703422,0.0619,124.82
unknown_142,"DCX 16 L Ø16 mm, graphite brushes, ball bearings",9,0.79,5.5e-05,2.4e-07,0.042,0.00652,0.00652,1.85,1371.82879206754,0.0708,7.21,17.9,1780.23583703422,0.0743,124.82
unknown_143,"DCX 16 L Ø16 mm, graphite brushes, ball bearings",12,1.63,9.6e-05,2.36e-07,0.042,0.00859,0.00859,1.28,1371.82879206754,0.0538,7.21,17.9,1780.23583703422,0.0633,124.82
unknown_144,"DCX 16 L Ø16 mm, graphite brushes, ball bearings",18,3.22,0.000231,2.59e-07,0.042,0.0133,0.0133,0.906,1340.41286553164,0.034,7.21,17.9,1780.23583703422,0.0745,124.82
unknown_145,"DCX 16 L Ø16 mm, graphite brushes, ball bearings",24,6.22,0.000411,2.28e-07,0.042,0.0178,0.0178,0.652,1340.41286553164,0.0255,7.21,17.9,1780.23583703422,0.0685,124.82
unknown_146,"DCX 16 L Ø16 mm, graphite brushes, ball bearings",36,13.3,0.000925,2.33e-07,0.042,0.0267,0.0267,0.445,1340.41286553164,0.017,7.21,17.9,1780.23583703422,0.0721,124.82
unknown_147,"DCX 16 L Ø16 mm, graphite brushes, sintered bearings",6,0.431,2.6e-05,2.18e-07,0.042,0.00444,0.00444,2,1340.41286553164,0.101,7.21,17.9,1570.7963267949,0.0618,113.09
unknown_148,"DCX 16 L Ø16 mm, graphite brushes, sintered bearings",9,0.791,5.5e-05,2.4e-07,0.042,0.00652,0.00652,1.85,1371.82879206754,0.0698,7.21,17.9,1570.7963267949,0.0742,113.09
unknown_149,"DCX 16 L Ø16 mm, graphite brushes, sintered bearings",12,1.63,9.6e-05,2.36e-07,0.042,0.00859,0.00859,1.28,1371.82879206754,0.0531,7.21,17.9,1570.7963267949,0.0633,113.09
unknown_150,"DCX 16 L Ø16 mm, graphite brushes, sintered bearings",18,3.22,0.000231,2.59e-07,0.042,0.0133,0.0133,0.906,1340.41286553164,0.0336,7.21,17.9,1570.7963267949,0.0745,113.09
unknown_151,"DCX 16 L Ø16 mm, graphite brushes, sintered bearings",24,6.23,0.000411,2.28e-07,0.042,0.0178,0.0178,0.652,1340.41286553164,0.0252,7.21,17.9,1570.7963267949,0.0685,113.09
unknown_152,"DCX 16 L Ø16 mm, graphite brushes, sintered bearings",36,13.3,0.000925,2.33e-07,0.042,0.0267,0.0267,0.445,1340.41286553164,0.0168,7.21,17.9,1570.7963267949,0.072,113.09
unknown_153,"DCX 16 S Ø16 mm, Precious Metal Brushes CLL, ball bearings",3,1.2,3.6e-05,1e-07,0.026,0.00445,0.00445,1.2,658.68725970266,0.056,9.9,23.5,908.967474438647,0.0111,119.36
unknown_154,"DCX 16 S Ø16 mm, Precious Metal Brushes CLL, ball bearings",4.5,2.8,8e-05,9.7e-08,0.026,0.00667,0.00667,0.782,658.68725970266,0.0373,9.9,23.5,908.967474438647,0.0107,119.36
unknown_155,"DCX 16 S Ø16 mm, Precious Metal Brushes CLL, ball bearings",6,4.06,0.000131,1.08e-07,0.026,0.00853,0.00853,0.648,689.055988687361,0.0296,9.9,23.5,908.967474438647,0.0126,119.36
